reviews,ratings
"I used play this game back in the 2016. I started it again from strach a few days ago and so far loving it. So many necessary changes have been done by the developers which makes it even more fun to play. If you don't want to waste hours and hours of screen on time in a game then this game is the perfect solution for you. You just open it a few times in a day, collect your resources, build, fight and you are good to go. On the down side the upgrades can take a really long time.",4
"This is a perfect game if you got the patience and don't want to spend a lot of active time in it. Just log in, collect resources, do a couple of upgrades and battles and you are set. This doesn't mean that the game doesn't offer enough challenge and deepness. Between the multiple ways you can play and the constant updates, there are tons of hours of gameplay here. On the negative side, the upgrades get really long after the first few levels and there's lot pay content. Overall a great game.",4
The game is one of the best strategy games available on this platform. It has live events and regular maintenance io keep the game moving smoothly without any interference. Recently the game has introduced more rewarding tasks and they are worth achieving. But still there are some issues to be fixed and I hope that it will be solved.,4
"I used play this game back in the 2016. I started it again from strach a few days ago and so far loving it. So many necessary changes have been done by the developers which makes it even more fun to play. If you don't want to waste hours and hours of screen on time in a game then this game is the perfect solution for you. You just open it a few times in a day, collect your resources, build, fight and you are good to go. On the down side the upgrades can take a really long time.",4
"This is a perfect game if you got the patience and don't want to spend a lot of active time in it. Just log in, collect resources, do a couple of upgrades and battles and you are set. This doesn't mean that the game doesn't offer enough challenge and deepness. Between the multiple ways you can play and the constant updates, there are tons of hours of gameplay here. On the negative side, the upgrades get really long after the first few levels and there's lot pay content. Overall a great game.",4
"love ittt, but I swear to God there's this some kind of annoying thing that keeps on happening on the game. my wifi is very good but everytime I open the game it takes so much time for the game to load, before this doesn't happen but then now it takes over 10+ minutes to load until I can play the game! sometimes it doesn't even load it and I have to always keep on re-opening the game. my phone doesn't have any problems, it has alot of storage and never lagged. please fix this.",4
Good game overall. Fun gameplay as it allows creativity with attack strategies and base design. Planning the growth of your base is also a thing which is why it's really fun if you have a goal in mind. You can mess up by rushing your TH too much but you can still fix it little by little. You can spend money to speed things up but hard work is what pays off in this game. Kudos!,5
Great game! Alot of fun! The one downside is the long upgrade times as you get higher. Especially the eagle artillery. U need a max amount of gold just to upgrade and the first upgrade takes 9 days. That is a bit ridiculous for only being the first upgrade (lvl2). Everything else was way less when first upgrading. I don't have a problem with paying more for upgrading when things get higher levels. But a lower build time would be nice.,5
"Months ago, I was having trouble with the game because I was not able to play it since it crashes on the loading screen. But now, my respect has finally came back after a few changes, and I personally like the idea of making troop training absolutely FREE, as in FREE—now we have zero-cost at training our troops on three modes! (and this is getting better and better)",5
"I love this game. Even years after my last time playing, I was able to easily re-learn how to play. One thing I don't like is how hard it is to keep your loot because you only get 2 builders and then must grind up to 500 gems just to get 1 more. Plus, upgrades get really long after the first few levels so if that is combined with the difficulty to get more builders without paying money, it gets frustrating at times. Other than that, I love the game.",4
"Amazing game. Really the only thing I would like to see changed is the little blue ""i"" next to how many builders you have. It's excellent that it shows what is left to upgrade before your town hall is maxed out, but i wish it had more information and sorting options. Sort by price, TIME, or level. Just a thought. Also, Some of the stuff at the higher levels is kind of ridiculous for how long it takes to upgrade or research. 4 days for a potion? That's kind of crazy.",4
"I just returned playing the game, so im enjoying it, but the only problem is not the time to build and upgrade buildings, it's that the challenge feature, why does it need too much time just because i modified my base, i think the challenge mode is really good to try to understand and fix the defenses of your base, and know how to attack, or just have fun with ur friends. I think taking out the time duration or lower its time duration would be great.",4
"Clash of Clans has become a truly classic must-have mobile game. Having played the game on and off for eight years (since 2014), I still enjoy it. Progress slows down over time, but their battle passes have helped compensate for it with their end of season rewards (which are free). The game involves strategically planning out your base to protect your resources while building armies to defeat enemy villages. You can also connect to a Supercell ID to save your progress across devices.",5
The game that survived from 2013 until now. Since back then it's very different. The amount of popularity this game has is absolutely huge. It has the simple ways and styles to play the game. The reward system is good and very clean graphics. One thing I don't like are those bots spamming join>promotes(link)>leave and repeat. I wish you do something for that kind of problem. 5 stars. Keep up the good work. Happy Anniversary!,5
It's great you guys are continuing to update this game because it's is a great game. But I think you guys neglect the builder base. Nothing much has changed with it since it's release. Would love to have some type of daily challenges or something like that. Maybe even add in weekly challenges which are a little bit harder and monthly challenges which are hard to achieve.,4
"I am both a user on an Ipad but also on a chromebook. It seems that they have taken a liking to apple beter than google as I have no issues running it on my Ipad. I would love for this issue to be resolved as so I can enjoy it on both devices instead of just one. I have uninstalled it more than once, shut my chromebook down multiple times and have it updated to the most recent update and it has yet to turn on. Please adress this issue promptly.",2
"Super fun to play, and the things to do are practically endless! I can upgrade my base, attack someone, talk to clan members etc etc. And it's not hard to progress like some other building games, there's enough resources to let you upgrade super quick, but sometimes you have to wait to get some, so your always progressing, but not exactly zooming through the game. It's perfect!",4
"Great game! Playing it from the past 5 years! Only thing I'd say, add a button to clear all obstacles or trees and stuff, so that if i had one builder, I'll assign it to clear all, adding all the 10s-30s to give an estimate time and amount elixir required. I guess this would be much easier clear out the ground. It's very annoying to wait for the builder to finish one and then second and on and on with clicking each time to do it. Please consider this!",4
