reviews,ratings
"such a nice game, but so many bugs. You need to fix this as soon as possible mostly in mobile players. ;Sometimes your screen cannot be turn around. When you're swiping it's just zooming in and out. ;My screen will freeze for 10 sec, then when it start moving it will just shake so much. It's not a phone problem. It's the game. I've seen so many people experiencing this",4
"It's a great game, pretty much the games inside Roblox are very fun. Different genre types and more. However there are alot of problems. That being the chat filter, game bugs and alot more. Also, i would really appreciate it if you added a rendering distance option, instead of the graphics quality option. As someone with a low-end PC, this makes my whole game crash or freeze. Although all of these problems, i still find it enjoyable and fun! This game is one one of the best games Ill ever play!",3
"The game is good, they are many games to play most especially interesting ones but sometimes there are bugs in the game but I still enjoy it so that's why I gave it 4 stars so try to fix the problem about the game whereby we get stuck and the game like just begins to be in a way that every is bright and you can't see anything like it crashes so I have to restart the game before it becomes normal or sometimes is stays for a long time before it becomes normal, but this game is good. Thanks.",4
"such a nice game, but so many bugs. You need to fix this as soon as possible mostly in mobile players. ;Sometimes your screen cannot be turn around. When you're swiping it's just zooming in and out. ;My screen will freeze for 10 sec, then when it start moving it will just shake so much. It's not a phone problem. It's the game. I've seen so many people experiencing this",4
"It's a great game, pretty much the games inside Roblox are very fun. Different genre types and more. However there are alot of problems. That being the chat filter, game bugs and alot more. Also, i would really appreciate it if you added a rendering distance option, instead of the graphics quality option. As someone with a low-end PC, this makes my whole game crash or freeze. Although all of these problems, i still find it enjoyable and fun! This game is one one of the best games Ill ever play!",3
"An amazing game! Thus there is a few problems that is needed to be fixed, I mean.. Every game has its own problem, even the best games too, which is this, the number one problem is that 1) THE CAMERA, sometimes when I try to look around, the camera zooms in, zooms out or neither ( do not move) which is sometimes really frustrating since I need to RE-JOIN to be able to move my screen perfectly fine... That is the only problem I've have observed nonetheless the game is all and amazing! :))",5
"Decent graphics, everything is fine, but there are a few problems 1. It lags a lot if I enter like a shooting game it feels like it is going to crash my game. 2. Sometimes I can't control my own character. 3. It takes to much internet to play , I did like a recharge of 6 GB of internet and just gone in two days. Overall excellent game .",4
"So first, I am going to talk about bugs. Sometimes when I turn my screen, it activates the movement of walking. Please fix this because this is very frustrating and also when I turn my screen, sometimes it zooms in. And for the update, I hate to say this but I don't like it, I want the old one back. Like the 2018 stuff. Making it more realistic is kind of the reason why I would quit. But thank you for all the hard work <3",3
"ROBLOX has made my day so much, but despite the amazing changes to the game there are some issues, for example roleplaying games, the camera model will often malfunction or ""break"" so I can only zoom in and out and only face in one direction. This is becoming a very annoying situation, as the only I've found to repair this is to leave, or to go back to the editor. This is the only thing that keeps me from rating it higher, ROBLOX makes my day everyday. Thank you for this amazing experience.",3
"It's a great app with great games, however lately there has been a shift lock bug. After playing games I always used to play, I suddenly get trapped in shift lock. For example, Tower of Fun, I went in shift lock for a second and then I turned it off, but I was still in shift lock. and I know I am not the only one because there have been videos proving this issue exists. So please, PLEASE fix it.",4
