reviews,ratings
"I am enjoying this strategy game so far. For a beginner like me, it was easy to figure out. No blood and guts either! The only difficult thing is acquiring carpenter huts used to upgrade or build items. If you don't want to wait a long time for your points to accumulate, you have to pay money for them. Also, further on in the game they encourage you to use dark magic potions in your battles, which I find evil and a definite drawback.",4
"Clash of Clans is a great, fun strategy game, but there's a thing that really frustrates me. When you have too many trophies, your village gets attacked almost instantly after you leave the game. As a result, bases with many trophies have shields most of the time, making the ‘Revenge’ button useless. I have a suggestion though: if the player hits the ‘Revenge’ button, the red message should display the duration of the defender's shield or guard instead of only showing that the shield is active.",3
"I have a few suggestions, it would be great if you people can allow the production of speed up tokens for both villages in the clock tower and if also you can reduce the time frame for upgrades in the home village for buildings, troops, spells and heroes trust me it will be great because the current upgrade time for the home base is too much...Thanks guys I will continue to play the game, it is certainly a great game. We will all appreciate this in the next upgrade. COC🙌",2
"I am enjoying this strategy game so far. For a beginner like me, it was easy to figure out. No blood and guts either! The only difficult thing is acquiring carpenter huts used to upgrade or build items. If you don't want to wait a long time for your points to accumulate, you have to pay money for them. Also, further on in the game they encourage you to use dark magic potions in your battles, which I find evil and a definite drawback.",4
"Clash of Clans is a great, fun strategy game, but there's a thing that really frustrates me. When you have too many trophies, your village gets attacked almost instantly after you leave the game. As a result, bases with many trophies have shields most of the time, making the ‘Revenge’ button useless. I have a suggestion though: if the player hits the ‘Revenge’ button, the red message should display the duration of the defender's shield or guard instead of only showing that the shield is active.",3
"100 % an awesome game for my phone. I love the option of being able to create multiple bases, and being able to ""copy"" an enemy base. I've been a fan now for like 8 years. It's cool being able to communicate with people all over the world. A couple of things I've noticed that needs adjustments, in my opinion is. It takes way too long to upgrade buildings when you become a high level townhall. Also, buying anything with gems cost wayyyyy too much. But a great game. For real.",5
I've played this game for about 6 years. I love it. It's not pay to win. You can do everything for free. But you can speed up the process 3 fold by buying the gold pass each month which pays itself off. It gives you many items worth more than the cost of the actual pass. Supercell update and keep control of this game in many ways that even Triple A Console studios don't.,5
The game was excellent. I had a made a quite huge progress within a few days. But after these recent update my game isn't opening. When I'm clicking the icon a black screen appears and my game crashes. I tried to contact with supercell with a help form but it didn't get send. So I'm here please fix this as I've made a huge progress and and I didn't want to loose it. 🙏🙏🙏,4
"Great strategy game that stays fun over the course of time (I've been playing for 6 or so years.) It is a game that takes time, but even at lower levels you can have fun as you build up to the higher levels. Matches are scaled by your current level and so the challenges will always be equal to what you can do. It doesn't mean it's easy, it does take strategy, but it does mean that it can be done. This also means that there is no pay to win as you're always matched equal to your strength.",5
"It's a really enjoyable game if you like to plan and strategize. In game purchase are incentivized and help you progress faster, but you can get to max level using free to play (though it takes quite awhile). I've been playing for a month now and upgrades have slowed down a bit. Playing multiple accounts has kept me busy though.",5
"The update is not as good as i thought it would be. I am happy about the clan capital and such, but the sound when you place your troop in battle has changed and tbh i like the old one better, and the outline to know where not to put troops in battle looks cheap, again i like the old one. It's still a great game though, great graphics, and performance, and like the other review it's the type of game you don't want to uninstall.",5
"Been playing this game for nearly 8 years now, and during this time it has been a constant and remains a part of my daily routine. It's probably my favourite chill-out game. I've had to restart my progress a few times because of issues with google play (nothing to do with CoC btw) but I've never lost interest in the game. It was also kinda nice to refresh and restart. I think it's one of SuperCell's best games, and definitely a favourite of mine. Here's to another 8+ years! 😊",5
"5/5 I love it, would download a 2nd time if it wasn't for Google limits. 1 thing I must mention is, the game is very grindy especially in the later Town halls. Supercell somewhat alleviated this via the end of season rewards. Alleviate doesn't mean solve though, if you willing to see this as a 2nd job, yeah, GO FOR IT. But for the ones who get on, play for 2 hours then get off. They're going to have a slower time upgrading. But it IS possible and to me, after all of that. It's a worthy download.",5
"great free game! I've been playing off n on for 7 years and love a lot about the game, esp how they've continued to add new things to help with the insane upgrade times/costs. Though I love that they do that, I do wish things didnt take 3 weeks and max storage just for 1 upgrade(late game). Also the pathfinding n matchmaking have been top cons of this game since day 1. they say they've fixed it but its still just as bad unfortunately. I do really appreciate that you can play truly for free tho!",4
"Hey I'm a player of this game since 2013. Never have I ever had any complaints about it, it's addictive and fun! I've been obsessed with it since I was little. But with the new update, I was too excited and after I updated the game, my game would automatically crash if I click the clan capital at first. And when I tried to fix it, I couldn't even load my home village. Idk what's happening but it would be helpful if you look into the above matter. PS: I've reinstalled the game about 5 times now.",2
